Variable:,tas
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1945,-5.16,0.07,1.12,-2.91,4.24,-1.90,-9.10,5.96,-14.20,-0.18,5.76,-2.78,-0.84,-6.20
1946,-5.11,0.58,1.18,-2.44,4.18,-2.29,-9.17,5.94,-14.22,0.33,5.66,-3.23,-0.23,-6.46
1947,-4.68,0.51,1.59,-2.45,4.41,-1.39,-8.94,6.24,-13.39,0.18,5.91,-2.31,-0.52,-5.44
1948,-5.11,0.21,0.57,-2.01,3.75,-2.25,-9.21,5.21,-14.18,0.59,5.00,-2.65,-0.41,-7.26
1949,-5.08,0.53,0.64,-2.53,4.85,-2.14,-8.68,6.61,-14.62,0.37,6.39,-2.69,-0.30,-6.20
1950,-6.13,-1.38,-0.25,-4.44,4.07,-2.34,-9.81,5.72,-14.95,-1.39,5.43,-3.40,-2.31,-7.16
1951,-5.62,-1.47,-0.07,-3.40,4.61,-0.95,-9.97,6.72,-14.56,-0.04,6.41,-2.32,-2.23,-7.32
1952,-4.20,1.32,1.35,-1.19,4.79,-0.63,-8.25,6.48,-13.41,1.18,6.25,-1.73,0.47,-5.95
1953,-4.11,1.70,1.87,-1.25,5.48,-1.16,-7.92,7.12,-13.76,1.38,6.91,-1.71,0.89,-5.66
1954,-4.85,0.53,0.86,-1.94,4.26,-1.68,-8.62,6.29,-13.95,0.30,6.07,-2.69,0.02,-6.40
1955,-5.18,-0.91,-0.58,-2.47,4.06,-0.67,-9.82,5.70,-13.99,0.87,5.54,-1.65,-1.24,-7.63
1956,-5.68,0.19,0.44,-2.95,3.51,-2.12,-9.78,5.45,-15.01,-0.34,5.20,-3.41,-0.71,-7.68
1957,-5.10,0.55,0.94,-2.46,4.25,-2.13,-9.01,5.98,-14.72,0.25,5.71,-2.76,-0.22,-5.46
1958,-4.31,1.67,2.47,-1.80,3.96,-0.78,-8.19,6.07,-13.65,0.24,5.68,-2.30,0.76,-5.47
1959,-5.30,0.41,0.93,-2.60,4.19,-1.85,-9.79,5.95,-14.48,0.00,5.76,-2.88,-0.30,-7.34
1960,-4.53,0.97,1.44,-2.26,4.79,-0.71,-8.80,6.58,-13.46,0.28,6.40,-2.01,-0.04,-5.70
1961,-5.10,0.88,1.51,-2.06,4.15,-1.15,-10.02,5.93,-14.98,0.69,5.61,-2.21,0.15,-7.47
1962,-4.97,0.85,1.34,-2.60,3.55,-2.02,-8.67,5.32,-14.15,0.04,4.97,-3.10,-0.09,-5.79
1963,-4.72,1.38,1.87,-1.80,3.57,-1.97,-8.44,5.47,-13.99,0.13,5.07,-3.18,0.58,-5.70
1964,-5.56,0.29,0.56,-2.54,3.77,-2.36,-9.82,5.30,-15.11,0.14,5.04,-3.19,-0.34,-7.59
1965,-5.61,-0.24,0.90,-3.19,3.36,-2.16,-9.45,5.04,-14.52,-0.58,4.80,-3.71,-1.21,-7.09
1966,-5.31,-0.60,0.54,-3.34,4.84,-0.41,-9.98,6.43,-14.23,-0.12,6.35,-1.74,-1.22,-8.23
1967,-5.34,0.46,1.46,-2.92,3.58,-1.66,-9.23,5.50,-14.80,-0.43,5.12,-3.24,-0.60,-6.53
1968,-4.88,0.43,0.73,-2.28,3.84,-1.46,-8.93,5.66,-13.87,0.39,5.29,-2.39,0.02,-6.68
1969,-4.67,0.05,0.85,-2.33,4.70,-0.55,-8.54,6.59,-13.38,0.45,6.37,-2.12,-0.58,-6.55
1970,-5.18,0.24,0.91,-2.83,3.94,-1.29,-8.98,5.65,-14.38,-0.01,5.29,-2.90,-0.76,-6.45
1971,-5.02,0.27,0.44,-2.08,3.90,-1.27,-9.02,5.86,-13.82,0.38,5.52,-2.65,-0.30,-7.90
1972,-6.85,-0.97,-0.18,-4.10,2.76,-3.81,-10.37,4.86,-16.77,-1.29,4.35,-4.97,-1.66,-8.33
1973,-4.29,0.80,0.68,-1.25,4.91,-0.84,-7.94,6.38,-13.36,1.33,6.08,-1.71,0.69,-7.26
1974,-5.64,0.44,1.16,-2.94,3.46,-2.61,-10.01,5.39,-15.01,-0.38,5.00,-3.61,-0.42,-7.31
1975,-5.09,0.11,0.41,-2.16,4.00,-1.99,-9.18,5.71,-14.17,0.75,5.45,-2.49,-0.49,-7.49
1976,-4.89,1.90,1.56,-1.93,3.54,-2.14,-8.01,5.95,-14.49,-0.40,5.58,-3.74,0.77,-5.44
1977,-4.01,1.50,1.51,-0.93,4.12,-0.74,-7.81,6.01,-12.91,0.96,5.70,-1.89,0.81,-5.41
1978,-5.42,0.60,1.34,-2.82,3.47,-2.13,-8.71,5.31,-15.35,-0.59,4.94,-3.70,-0.55,-5.15
1979,-5.07,0.44,1.15,-3.26,5.13,-0.37,-8.75,6.67,-14.82,-0.31,6.47,-2.16,-0.82,-5.86
1980,-4.54,1.31,1.61,-1.93,3.59,-1.45,-8.10,5.31,-13.39,-0.11,4.88,-2.86,0.57,-5.80
1981,-3.02,2.96,2.64,-0.08,5.04,0.35,-6.51,6.72,-12.15,1.47,6.45,-1.19,2.23,-3.88
1982,-5.97,-0.92,0.32,-3.34,3.80,-2.37,-10.23,5.67,-15.33,-0.29,5.30,-3.33,-1.63,-7.66
1983,-4.84,0.94,1.48,-1.60,5.06,-1.21,-9.08,6.88,-14.70,0.99,6.60,-2.55,0.39,-6.73
1984,-4.76,1.02,1.24,-1.53,4.53,-1.70,-8.79,6.52,-14.45,0.86,6.13,-2.58,0.53,-5.95
1985,-4.92,0.60,0.89,-2.72,3.65,-1.69,-8.88,5.31,-13.51,-0.26,4.89,-2.66,-0.59,-6.02
1986,-4.79,1.88,2.03,-1.63,3.50,-2.02,-8.69,5.42,-14.86,0.68,4.89,-3.19,1.09,-5.65
1987,-3.37,3.41,2.96,0.46,4.32,-0.83,-6.95,5.85,-13.73,2.37,5.44,-1.84,2.81,-4.40
1988,-4.19,2.07,2.00,-1.49,4.21,-1.38,-8.00,5.91,-13.24,0.56,5.50,-2.54,1.09,-5.22
1989,-5.14,0.89,1.86,-2.81,3.45,-1.86,-8.49,5.43,-14.70,-0.46,4.97,-3.53,-0.28,-5.71
1990,-5.01,0.90,1.56,-2.08,4.95,-2.31,-9.20,6.69,-14.79,0.97,6.37,-2.93,0.26,-6.63
1991,-4.47,1.75,2.07,-1.58,4.36,-2.61,-8.38,6.23,-13.94,1.05,5.85,-2.80,0.86,-5.45
